,en,ta
11,"And whoever touches any thing that was under him shall be unclean until the even: and he that bears any of those things shall wash his clothes, and bathe himself in water, and be unclean until the even.
","அவனுக்குக் கீழிருந்த எதையாகிலும் தொடுகிறவன் சாயங்காலம்மட்டும் தீட்டுப்பட்டிருப்பான்; அதை எடுத்துக்கொண்டு போகிறவன் தன் வஸ்திரங்களைத் தோய்த்து, தண்ணீரில் முழுகி, சாயங்காலம்மட்டும் தீட்டுப்பட்டிருப்பானாக.
"
12,"And the guard stood, every man with his weapons in his hand, round about the king, from the right corner of the temple to the left corner of the temple, along by the altar and the temple.
","காவலாளர் அவரவர் தங்கள் ஆயுதங்களைப் பிடித்தவர்களாய், ஆலயத்தின் வலதுபக்கம்தொடங்கி அதின் இடதுபக்கமட்டும், பலிபீடத்திற்கு எதிராகவும் ஆலயத்திற்கு எதிராகவும் ராஜாவைச் சுற்றிலும் நின்றார்கள்.
"
13,"He had always encouraged Senthil to read.
","செந்தில் நிறையப் படிக்க வேண்டும் என்று அவர் ஊக்கம் கொடுத்ததாக கூறினார்.
"
14,"The region accounts for 75 percent of Maharashtra's cotton production.
","மகாராஷ்டிராவின் பருத்தி உற்பத்தியில் 75 சதவீதம் இந்த பிராந்தியத்தில் விளைகிறது.
"
15,"The bottom 80 percent owns 7.5 percent of non-home wealth.
","கீழிருக்கும் 80 சதவிகிதம் 7.5 வீடுகளற்ற சொத்துக்களை கொண்டுள்ளது.
"
16,"Indian defence analysts have sought to dampen public fears by speculating on the prospects of 'a limited war,' confined to attacks on alleged terrorist training camps in the Pakistani-controlled region of Kashmir.
","""ஒரு வரம்புக்கு உட்பட்ட போருக்கான"" சாத்தியங்கள் பற்றிய ஊகங்களை ஏற்படுத்துவதன் மூலமாக பொதுமக்களின் அச்சங்களை இல்லாமல் செய்யும் முயற்சியில் இந்திய பாதுகாப்பு ஆய்வாளர்கள் ஈடுபட்டுள்ளனர் - அந்தப் போர் பாக்கிஸ்தான் கட்டுப்பாட்டிலுள்ள காஷ்மீரில் உள்ள பயங்கரவாத பயிற்சி முகாம்கள் என்று குற்றம் சாட்டப்படுவனவற்றின் மீதான தாக்குதல்களுடன் மட்டுப்படுத்தப்படும் என கூறப்படுகின்றது.
"
17,"The earth is the LORD's, and the fullness thereof; the world, and they that dwell therein.
","பூமியும் அதின் நிறைவும், உலகமும் அதிலுள்ள குடிகளும் கர்த்தருடையது.
"
18,"You made also a ditch between the two walls for the water of the old pool: but you have not looked to the maker thereof, neither had respect to him that fashioned it long ago.
","இரண்டு மதில்களுக்கு, நடுவே பழைய குளத்துத் தண்ணீர்களுக்கு ஒரு அகழை உண்டுபண்ணுவீர்கள்; ஆனாலும் அதைச் செய்தவரை நீங்கள் நோக்காமலும், அதை ஏற்படுத்தித் தூரத்திலிருந்து வரப்பண்ணினவரைக் கவனியாமலும் போகிறீர்கள்.
"
19,"It seems shilpa shetty has been approached for the role.
","இதுதான் அடுத்து வடிவேலு நடிக்கப் போகும் படம்.
"
20,"The unions seek to use the one-day strikes to diffuse mass opposition and ensure that the developing movement against the austerity measures does not escalate out of their control.
","வெகுஜன எதிர்ப்பைச் சிதைக்கும் வகையில் தொழிற்சங்கங்கள் ஒரு நாள் வேலைநிறுத்தங்களை நடத்துகின்றன. அதையொட்டி சிக்கன நடவடிக்கைகளுக்கு எதிரான இயக்கம் தங்கள் கட்டுப்பாட்டை விட்டு சென்றுவிடாமல் பார்த்துக் கொள்ளுகின்றன.
"
21,"The Norwegian-led truce monitors have suspended their activities in areas under Muralitharan's control.
","முரளிதரன் கட்டுப்பாட்டிலுள்ள பகுதிகளில் நோர்வே நாட்டைச் சார்ந்த சமாதான கண்காணிப்பாளர்கள் தங்களது நடவடிக்கைகளை நிறுத்தி வைத்திருக்கின்றனர்.
"
22,"DM: We are currently looking at offers from some other states and so we hope that there will be no more trouble, but I am determined to make this film.
","<font size=""3"">தீபா மேத்தா<font size=""3"">: நாங்கள் வேறு மாநிலங்களில் இடம் பார்த்துக் கொண்டிருக்கின்றோம், அங்கு மேற்கொண்டு பிரச்சினைகள் இருக்காது என நம்புகின்றோம், எப்படியாயினும் இந்தப் படத்தை தயாரிப்பதில் உறுதியாக இருக்கின்றேன்.
"
23,"Or a charmer, or a consulter with familiar spirits, or a wizard, or a necromancer.
","மந்திரவாதியும், சன்னதக்காரனும், மாயவித்தைக்காரனும், செத்தவர்களிடத்தில் குறிகேட்கிறவனும் உங்களுக்குள்ளே இருக்கவேண்டாம்.
"
24,"Appealing for youth to join the ISSE, he said: ""In this country, most young people have been born and lived under the horrors of war and repression.
","இளைஞர்களை ஐ.எஸ்.எஸ்.ஈ யில் இணையுமாறு அழைப்பு விடுத்த அவர், ""இந்த நாட்டில் கூடுதலான இளைஞர்கள் யுத்த பயங்கரம் மற்றும் அடக்குமுறைகளுக்கு மத்தியிலேயே பிறந்து வாழ்ந்துகொண்டிருக்கிறார்கள்.
"
25,"For it is easier for a camel to go through a needle's eye, than for a rich man to enter into the kingdom of God.
","ஐசுவரியவான் தேவனுடைய ராஜ்யத்தில் பிரவேசிப்பதைப்பார்க்கிலும், ஒட்டகமானது ஊசியின் காதிலே நுழைவது எளிதாயிருக்கும் என்றார்.
"
26,"Sonia Agarwal will step into the small screen by acting as Radhika in this serial.
","இதில் ராதிகா என்ற கதாபாத்திரத்தில் நடித்து சின்னத்திரையில் அறிமுகமாகிறார் சோனியா அகர்வால்.
"
27,"Vikraman is confident that this love story will appeal to the youth.
","முதன்முறையாக காதல் படமொன்றை இயக்குகிறேன்.
"
28,"If a man on the sabbath day receive circumcision, that the law of Moses should not be broken; are you angry at me, because I have made a man every whit whole on the sabbath day?
","மோசேயின் நியாயப்பிரமாணம் மீறப்படாதபடிக்கு ஓய்வுநாளில் மனுஷன் விருத்தசேதனம் பெறலாமென்றால், நான் ஓய்வுநாளில் ஒரு மனுஷனை முழுவதும் சுகமாக்கினதினாலே என்மேல் எரிச்சலாயிருக்கலாமா?
"
29,"There is particular concern over the state of Europe's banking system.
","ஐரோப்பாவின் வங்கிமுறை நிலை பற்றி குறிப்பிடத்தக்க வகையில் கவலை உள்ளது.
"
30,"His administration, however, has been regarded as untenable in the eyes of substantial sections of the ruling class.
","எவ்வாறாயினும், அவரது நிர்வாகம், ஆளும் வர்க்கத்தின் கணிசமான பிரிவினரது கண்களுக்கு ஏற்புடையதாகத் தோன்றவில்லை.
"
31,"And David said to Abigail, Blessed be the LORD God of Israel, which sent you this day to meet me:
","அப்பொழுது தாவீது அபிகாயிலை நோக்கி: உன்னை இன்றையதினம் என்னைச் சந்திக்க அனுப்பின இஸ்ரவேலின் தேவனாகிய கர்த்தருக்கு ஸ்தோத்திரம்.
"
32,"The SSP take pains to make clear that its formal espousal of a 'socialist Scotland' does not extend to Europe and does not cut across working with nationalist groupings that are opposed to such an alternative.
","ஒரு ""சோசலிச ஸ்கொட்லாந்து"" என்பதற்கு முறையாக வாதிடுவது என்பது ஐரோப்பாவிற்கு விரிவாக்கப்பட மாட்டாது என்பதை வலியுறுத்த SSP பெரிதும் முயன்றுள்ளதுடன், அத்தகைய மாற்றை எதிர்க்கும் தேசியவாத குழுக்களுடன் சேர்ந்து உழைக்கும் முயற்சிகளையும் அது தவிர்க்கவில்லை.
"
33,"A heart broken Negi resigned from the team.
","மனம் உடைந்த நேகி, அணியிலிருந்து விலகினார்.
"
34,"The media's right to investigate government actions and claims must be qualified by the fact that 'false accusations of fact impugning the integrity of others, including politicians, should not be made.'
","மேலும், பிரிட்டிஷ் அரசின் கூற்றுக்கள், செயல்பாடுகள், ஆகியவை குறித்து செய்திஸ்தாபனங்கள் உண்மை அறிவதற்கான புலனாய்வுகூட அம்மாதிரியான குற்றச்சாட்டுக்கள், அரசியல்வாதிகள் உள்ளடங்கலானோரின் கெளரவத்திற்கு களங்கம் விளைவிக்கும் வகையில் இருக்கக் கூடாது'' என குறிப்பிட்டுள்ளது.
"
35,"The continuity of the Fourth International had been challenged in 1953 by Michel Pablo, the secretary of the Fourth International at that time, who developed theoretical positions to justify adaptation to the Stalinist bureaucracy and the postwar stabilisation of capitalism.
","1953-ம் ஆண்டு நான்காம் அகிலத்தின் செயலாளராக இருந்த மிசேல் பப்லோ நான்காம் அகிலத்தின் தொடர்ச்சியை சவால் விடுக்கின்ற வகையில் ஸ்ராலினிச அதிகாரத்துவத்திற்கு அடிபணிதலையும், முதலாளித்துவத்தின் போருக்குப் பிந்தைய ஸ்திரப்பாட்டை நியாயப்படுத்தவும் தத்துவார்த்த ரீதியான நிலைப்பாட்டை வளர்த்தெடுத்தார் என்று விளக்கினார்.
"
36,"'What angers me the most is that disasters like this often bring out the worst in people.
","``எனக்கு கோபம் மிக அதிகமாக வருவதற்கு காரணம் இது போன்ற பேரழிவுகள் ஏற்படுகின்றபோது மக்களின் படுமோசமான குணங்களும் வெளிப்படுகின்றன.
"
37,"While in LTTE custody I repeatedly pleaded with them to let me see my parents just once but they mercilessly refused.
","ஆனால், அவர்கள் இரக்கமற்று நிராகரித்து விட்டனர்.
"
38,"I had now expressed that view to both the chairman of the JIC and to the prime minister and both had assented in it.
","கூட்டு உளவுத்துறை குழுத்தலைவர், பிரதம மந்திரி இருவரிடமுமே அக்கருத்தை தெரிவித்துள்ளேன், அவர்கள் அதை ஏற்கவும் செய்துள்ளனர்.""
"
39,"The Detroit News reported Wednesday: 'Analyst Stephen Girsky at Morgan Stanley recently estimated that 45 percent of GM's North American production capacity - the equivalent of 15 plants - is unused or produces models that generate little or no profit, such as vehicles sold at cut rates to employees and cars sold to rental fleets.'
","புதன்கிழமையன்று Detroit News வெளியிட்டுள்ள செய்தியில்: '' மோர்கன் ஸ்டான்லி ஆய்வாளர் ஸ்டீபன் கிர்ஸ்கி அண்மையில் செய்துள்ள மதிப்பீட்டில் GM இன் வடஅமெரிக்க உற்பத்தித்திறன் 45 சதவீத அளவிற்கு உள்ளது------அது 15 தொழிற்கூடங்களின் உற்பத்திக்கு சமமானது---- அவை பயன்படுத்தப்படவில்லை அல்லது விலைகுறைக்கப்பட்டு ஊழியர்களுக்கு வழங்கப்படும் கார்கள் மற்றும் வாடகை கார் நிறுவனங்களுக்கு விற்கப்படும் இலாபமற்ற அல்லது குறைந்த இலாபத்தை தருகின்ற மாதிரி கார்களை தயாரிக்கின்றன.
"
40,"And under conditions of the greatest economic crisis since the Great Depression, workers who lose their jobs face the prospect of a rapid descent into bitter poverty.
","பெருமந்த நிலைக்கு பின்னர் மிகப் பெரிய பொருளாதார நெருக்கடிக் காலத்தில் வேலைகளை இழந்த தொழிலாளர்கள் கடுமையான வறுமை நிலைக்கு விரைவில் தள்ளப்படுகின்றனர்.
"
41,"Most of the children were sick with diarrhea due to the lack of sanitation and clean drinking water.
","பெரும்பாலான குழந்தைகள், சுகாதாரக் குறைவினாலும், போதிய குடிநீர் இல்லாததாலும் ஏற்பட்டிருந்த வயிற்றுப் போக்கு நோயினால் பெரும் அவதிக்கு ஆளாகியிருந்தன.
"
42,"Their verdict was reflected in sluggish fundraising and what Gore associates called the 'skeptical media coverage' of his book tour.
","அல்கோரை, அவரது சகபாடிகள் விரும்பாததற்கான அடிப்படைக் காரணம், அவர் கட்சிக்கு நிதி திரட்டுவதில் மந்தப்போக்குடன் செயல்பட்டது மற்றும் அவரது புத்தகம் தொடர்பான சுற்றுப் பயணங்களின்போது செய்தி ஊடகங்களின் ''சந்தேகத்துடனான செய்திகள்'' ஆகும்.
"
43,"In part this is due to intense speculation on the yuan by international investors, who are buying up shares on the Chinese stock exchange to cash in on any yuan revaluation.
","இது யுவானில் சர்வதேச முதலீட்டாளர்களால் ஊக முறை ஈடுபாட்டினால், ஓரளவு ஏற்பட்ட விளைவாகும்; இவர்கள் சீனப் பங்குச் சந்தையில் யுவான் மறுமதிப்பீட்டில் பணம் சம்பாதிப்பதற்காக பங்குகளை ரொக்கத்திற்கு வாங்குபவர்கள்.
"
44,"They were protesting staff cuts, the reduction of the quality of education through the dumbing down of syllabuses, the increase of the teaching load and tampering with the baccalauréat exam.
","அவர்கள் ஊழியர் குறைப்பு, பாடத்திட்டங்களை இல்லாதாக்குவதன் மூலம் கல்வியின் தரத்தைக் குறைப்பது, கற்பிக்கும் சுமையை அதிகரிப்பது மற்றும் தேர்வு முறைகளில் மோசடி செய்வது ஆகியவற்றை கண்டித்தனர்.
"
45,"She is unable to express herself or to do anything at all to alter her situation.'
","தன்னுடைய நிலைமயை மாற்றுவது பற்றி ஏதும் பேசவோ செய்யவோ இயலாமல் அவர் உள்ளார்.""
"
46,"The government has flatly rejected all calls for a ceasefire - even from its international backers like the US.
","அமெரிக்கா போன்ற தனது சர்வதேச ஆதரவாளர்கள் உட்பட ஏனையவர்களும் யுத்த நிறுத்தத்துக்காக விடுத்த அனைத்து வேண்டுகோள்களையும் அரசாங்கம் நிராகரித்தது.
"
47,"By design, such demands are impossible to fulfill since they require the proof of a negative.
","இல்லாததை நிரூபியென வற்புறுத்தும் கோரிக்கைகளைப் பூர்த்தி செய்வது இயல்பாக முடியாத செயலாகும்.
"
48,"And from there he went against the inhabitants of Debir: and the name of Debir before was Kirjathsepher:
","அங்கேயிருந்து தெபீரின் குடிகளுக்கு விரோதமாகப் போனார்கள். முற்காலத்தில் தெபீருக்குக் கீரியாத்செப்பேர் என்று பேர்.
"
49,"Amidst all this, he bought himself a swanky car that even heroes did not own.
","இதற்கிடையே பெரிய ஹீரோக்களுக்களிடமே இல்லாத சொகுசு காரை வாங்கினார்.
"
50,"The only Li Peng protégé is Luo Gan, 66, number nine in the lineup and chief of the CCP's security apparatus.
","அவர் கட்சித் தலைமையில் ஒன்பதாவது இடத்தில் இருக்கிறார் மற்றும் சீனக் கம்யூனிஸ்ட் கட்சியின் பாதுகாப்பு தலைமைப் பொறுப்பை வகிக்கிறார்.
"
51,"Which I'm sure you know Jim Rogal, Mr. President. He works for you on your staff.'
","உங்களுக்கு ஜிம் ரோகலைத் தெரியும், தலைவர் அவர்களே, உங்களுடைய அலுவலராக அவர் வேலை பார்க்கிறார்.""
"
52,"Bharatiraja's son has quit acting and turned assistant to his father.
","நடிப்பை மறந்து பாரதிராஜாவின் அசிஸ்டெண்டாகியிருக்கிறார் அவரது மகன் மனோஜ்.
"
53,"French capitalism needs another prop
","பிரெஞ்சு முதலாளித்துவத்திற்கு மற்றொரு முண்டுகோல் தேவை
"
54,"Surya was to do the main role, but when he received Gautham Vasudeva Menon's film 'Vaaranam Aayiram,' he gave preference to the latter and opted out of the former.
","சூர்யா சர்வத்தில் நடிக்க ஒப்பந்தமானார்.
"
55,"US officials also told Duke that 'the United States may have trained some of the fighters who ousted Mobutu.' At this time Rwandan forces also began extracting mineral resources from eastern Zaire, now called the Democratic Republic of Congo.
","தற்போது கொங்கோ ஜனநாயக குடியரசு என்று அழைக்கப்படும் அன்றைய கிழக்கு சைர் பகுதியிலிருந்து விலைமதிப்பு மிக்க கனிம வளங்களை ருவாண்டா படைகள் தோண்டி எடுக்க ஆரம்பித்துள்ளன.
"
56,"Hilary Clinton commented, 'We now find ourselves having to cope with yet another threatening challenge made worse by the failed policies of this president.'
","ஹில்லாரி கிளின்டன் கூறினார்: ""இந்த ஜனாதிபதியின் தோல்வியுற்ற கொள்கைகளினால் மோசமாகிவிட்ட, மற்றொரு அச்சுறுத்தலை கொடுக்கும் சவாலையும் நாம் இப்பொழுது எதிர்கொள்ளும் நிலைமையில் இருக்கிறோம்.""
"
57,"He laid out three options: 'increasing our development assistance,' 'helping train police and the army,' and 'sending further military forces.' He said that the decision would be taken after the international Afghan conference, to be held next January in London.
","அவர் மூன்று விருப்புரிமைகளை கூறினார்: ""எமது வளர்ச்சிக்கான உதவியை அதிகரித்தல்"", ""போலீஸ், இராணுவத்திற்கு பயிற்சி கொடுப்பதில் உதவுதல்"", மற்றும் ""இன்னும் கூடுதலான இராணுவப் படைகளை அனுப்புதல்"". அடுத்த ஜனவரியில் லண்டனில் நடக்கவிருக்கும் சர்வதேச மாநாட்டிற்குப் பின்னர் ஒரு முடிவு எடுக்கப்படும் என்றும் அவர் கூறினார்.
"
58,"'We are both ready to face up to our responsibilities,' he said, 'arms in hand, in the service of peace.
","""நாம் இருவரும் எமது பொறுப்புக்களை எதிர்கொள்ளத் தயாராக உள்ளோம்; கைகளில் ஆயுதம் ஏந்தி சமாதானத்தின் பணியில் நிற்போம்.
"
59,"'In view of 5 million unemployed persons, the question arises: Can the government at all afford...such a completely unnecessary visit, and all the measures associated with it?
","""ஐந்து மில்லியன் வேலையற்றோரின் கருத்தில் இக்கேள்வி எழுகிறது: அரசாங்கம் இத்தகைய ...
"
60,"The peace secretariat expressed 'deep regrets' over the 'factual inaccuracies' in the statement of the Co-Chairs 'such as the alleged bombing of a school in Mullaitivu, which is grossly misleading.' Both UNICEF and the Sri Lankan Monitoring Mission (SLMM) visited the site of the August 14 bombing and confirmed that the victims had been school children, not 'child soldiers' as the government claimed.
","சமாதான செயலகம், ""தெளிவாக தவறான எண்ணத்தைத் தோற்றுவிக்கும் முல்லைத்தீவு பாடசாலை மீதான குண்டுத் தாக்குதல் போன்ற"" இணைத் தலைமை நாடுகளின் அறிக்கையில் உள்ள ""ஆதாரத் தவறுகள்"" சம்பந்தமாகவும் ""ஆழமான கவலை"" கொண்டிருந்தது. ஆகஸ்ட் 14 நடந்த குண்டுத் தாக்குதலை அடுத்து அந்தப் பிரதேசத்திற்கு சென்ற யுனிசெப் மற்றும் இலங்கை கண்காணிப்புக் குழுவும் பாதிக்கப்பட்டவர்கள் பாடசாலை மாணவர்களே அன்றி அரசாங்கம் குற்றஞ்சாட்டுவது போல் ""சிறுவர் போராளிகள்"" அல்ல என்பதை உறுதிப்படுத்தியிருந்தனர்.
"
61,"P Vasu shot a sequence of Rajini and Nayantara dancing on a decorated boat in the lake.
","இந்த ஏரியில் படகுகளை அலங்கரித்து, அதில் ரஜினி, நயன்தாரா ஆடுவதுபோல் படமாக்கினார் பி.வாசு.
"
62,"And this word, Yet once more, signifies the removing of those things that are shaken, as of things that are made, that those things which cannot be shaken may remain.
","இன்னும் ஒருதரம் என்கிற சொல்லானது அசையாதவைகள் நிலைத்திருக்கத்தக்கதாக, அசைவுள்ளவைகள் உண்டாக்கப்பட்டவைகள்போல மாறிப்போம் என்பதைக் குறிக்கிறது.
"
63,"I have written a song for the film in addition to handling the story, screen play and dialogue.
","கதை, திரைக்கதை, வசனம் எழுதி இயக்குவதுடன் ஒரு பாடலையும் எழுதியிருக்கேன்.
"
64,"It's more dangerous now than it was during the war.' An officer described the situation as a 'harsh environment,' in which his marines were under 'constant threat' and had to 'keep on their toes.' Former members of the Iraqi military demonstrated in Baghdad, Kirkuk and Basra at the beginning of the month over unemployment.
","நிலவரம் குறித்து பேட்டியளித்த ஓர் அதிகாரி தற்போது ""மிகக்கடுமையான சூழ்நிலை"" நிலவுவதாகவும், தனது கடற்படை வீரர்களுக்கு ""தொடர்ந்த அச்சுறுத்தல்"" வந்துகொண்டிருப்பதாகவும், நிரந்தரமாக ""மிகுந்த விழிப்புணர்வோடு நடமாட வேண்டியிருப்பதாகவும்"" குறிப்பிட்டிருக்கிறார். தாங்கள் வேலையில்லா திண்டாட்டத்தில் உள்ளதாக இந்த மாத தொடக்கத்தில் ஈராக் இராணுவத்தை சேர்ந்த முன்னாள் உறுப்பினர்கள் பாக்தாத், பாஸ்ரா மற்றும் கிர்குக் நகரங்களில் ஆர்ப்பாட்டம் நடத்தினர்.
"
65,"On Tuesday, the same newspaper produced a map of Europe akin to a weather map covered with economic clouds, storms and uncertainties.
","செவ்வாயன்று இதே செய்தித்தாள் ஒரு வானிலை வரைபடம் போல் ஐரோப்பாவை சித்தரித்து பொருளாதார மேகங்கள், புயல்கள், உறுதியற்ற தன்மைகள் இருப்பதைப் போல் காட்டியது.
"
66,"<img src=""ice-a25.jpg"" width=""360"" height=""252"" align=""bottom"" border=""0"" naturalsizeflag=""3"" />
","<img height=""252"" src=""http://wsws.org/articles/2007/aug2007/ice-a25.jpg"" width=""360"" align=""bottom"" border=""0"" naturalsizeflag=""3"">
"
67,"The various military tribunals and Congressional hearings will do nothing to halt the growth of such malignant tendencies in American society and the US military.
","பல்வேறு இராணுவ நீதிமன்றங்கள் மற்றும் நாடாளுமன்ற விசாரணைக்குழுக்கள் அமெரிக்க சமுதாயத்திலும் அமெரிக்க இராணுவத்திலும் நிலவுகின்ற இத்தகைய மோசமான போக்குகள் வளருவதை தடுத்து நிறுத்தமுடியாது.
"
68,"The manner in which the terrorist threat is used as a synonym for all forms of social and political opposition points to a ruling elite that is profoundly disoriented, and feels itself isolated and besieged by enemies on all sides.
","பயங்கரவாத அச்சுறுத்தல் பயன்படுத்தப்படும் முறை, அனைத்து சமூக, அரசியல் எதிர்ப்புக்களையும் எதிர்கொள்ளும் ஒரு ஆளும்தட்டு ஆழ்ந்த முறையில் சீரழிந்து இருப்பதையும், அனைத்துப் புறங்களில் இருந்தும் விரோதிகளால் சூழப்பட்டிருக்கிறோம் என்று உணர்ந்துகொண்டிருப்பதையும் எடுத்துக் காட்டுகிறது.
"
69,"This cave-in will have been noted by LRAs around the country seeking to impose similar attacks.
","இப்படிப் பணிந்து போவது LRA வினால் நாடெங்கிலும் கருத்தில் கொள்ளப்படும்; அவை இதே போன்ற தாக்குதல்களைச் சுமத்த முன்வரும்.
"
70,"Woe to you that are full! for you shall hunger. Woe to you that laugh now! for you shall mourn and weep.
","திருப்தியுள்ளவர்களாயிருக்கிற உங்களுக்கு ஐயோ; பசியாயிருப்பீர்கள். இப்பொழுது நகைக்கிற உங்களுக்கு ஐயோ; இனி துக்கப்பட்டு அழுவீர்கள்.
"
71,"For the past 2 years, she has been in love with US businessman Merryn Mathews who runs a pharmaceutical company.
","கடந்த இரண்டு வருடங்களாக இவரும், அமெரிக்காவில் மருந்து கம்பெனி அதிகாரியாக பணிபுரிந்துவரும் மெரின் மேத்யூ என்பவரும் காதலித்துவந்தனர்.இதனிடையே இருவரும் திருமணம் செய்துகொள்வதென்று முடிவெடுத்தனர்.
"
72,"The Socialist Party (PS) is reeling from a series of desertions from its ranks to join the Sarkozy bandwagon.
","சார்க்கோசியின் கூட்டத்தில் இணைத்து கொள்வதற்காக வரிசையாய் அதன் அணிகளை விட்டு ஓடல்களினால் சோசலிஸ்ட் கட்சி (PS) திகைத்து நிற்கிறது.
"
